epoch,train_loss,train_loss_per_pair,did_eval,dev_ndcg@10,is_best,best_ndcg@10_so_far,patience_counter,epoch_elapsed_sec,lr
1,1.997381144932579,0.015938080654720327,True,0.7144925502494527,True,0.7144925502494527,0,676.7037553787231,0.0003333333333333333
2,1.921581828269972,0.015406207853146673,True,0.7156647128663177,True,0.7156647128663177,0,579.1887352466583,0.0006666666666666666
3,1.8627137012677073,0.014999150849252503,True,0.7181755924775495,True,0.7181755924775495,0,684.2213654518127,0.001
4,1.8280238322426767,0.014759389345375247,True,0.7194387177081244,True,0.7194387177081244,0,675.6929948329926,0.001
5,1.8122638640198259,0.014648566129601557,True,0.7198632609539,True,0.7198632609539,0,676.4257638454437,0.0009383716857408418
6,1.7960050841053228,0.014526556205980428,True,0.7202744135371137,True,0.7202744135371137,0,658.1936359405518,0.0007700000000000001
7,1.78204366273149,0.014424604619360282,True,0.7200930818851857,False,0.7202744135371137,1,688.338526725769,0.00054
8,1.7701304284812958,0.014329169299677959,True,0.7200900808326319,False,0.7202744135371137,2,674.3763401508331,0.0003100000000000001
9,1.7634194649727004,0.014273049610604377,True,0.7190575481136917,False,0.7202744135371137,3,698.2551381587982,0.0001416283142591582
10,1.760500708219231,0.01425686063953243,True,0.7184376328248642,False,0.7202744135371137,4,677.1790246963501,8e-05
