epoch,train_loss,did_eval,dev_ndcg@10,is_best,best_ndcg@10_so_far,patience_counter,epoch_elapsed_sec,lr
1,1.9999520424508082,True,0.7172428390714065,True,0.7172428390714065,0,585.2809045314789,0.0003333333333333333
2,1.8442831206211376,True,0.7181651454082568,True,0.7181651454082568,0,636.8195216655731,0.0006666666666666666
3,1.8233850010564294,True,0.7188072389526742,True,0.7188072389526742,0,623.3351120948792,0.001
4,1.7977184265820145,True,0.7185675530371892,False,0.7188072389526742,1,635.1086537837982,0.001
5,1.776308913191004,True,0.719075977394477,True,0.719075977394477,0,607.5619456768036,0.0009383716857408418
6,1.7409308687483724,True,0.7167884204863582,False,0.719075977394477,1,607.8033494949341,0.0007700000000000001
7,1.7000101585963647,True,0.7155494042863506,False,0.719075977394477,2,632.6935751438141,0.00054
8,1.6571008737463253,True,0.7141261630889345,False,0.719075977394477,3,648.3094539642334,0.0003100000000000001
9,1.6225278403420345,True,0.7132499631982077,False,0.719075977394477,4,609.2840797901154,0.0001416283142591582
10,1.6025781604096998,True,0.7128526257779941,False,0.719075977394477,5,615.2421674728394,8e-05
