epoch,train_loss,did_eval,dev_ndcg@10,is_best,best_ndcg@10_so_far,patience_counter,epoch_elapsed_sec,lr
1,1.919733658817201,True,0.7309448493416539,True,0.7309448493416539,0,595.9821107387543,0.0003333333333333333
2,1.819833552719468,True,0.7324947402055146,True,0.7324947402055146,0,572.9281158447266,0.0006666666666666666
3,1.7937485324919582,True,0.73314946881313,True,0.73314946881313,0,624.7477564811707,0.001
4,1.7694877619585019,True,0.7329854764208019,False,0.73314946881313,1,610.3098635673523,0.001
5,1.747647753392627,True,0.7335346322589962,True,0.7335346322589962,0,600.108747959137,0.0009383716857408418
6,1.716310106646842,True,0.7312419431389932,False,0.7335346322589962,1,629.6238017082214,0.0007700000000000001
7,1.6798991011630011,True,0.7303742280276007,False,0.7335346322589962,2,628.1478521823883,0.00054
8,1.6372712942998935,True,0.7281736897706884,False,0.7335346322589962,3,634.2976748943329,0.0003100000000000001
9,1.6063334186226181,True,0.7281018914614918,False,0.7335346322589962,4,571.1461019515991,0.0001416283142591582
10,1.5902049612215743,True,0.7281585661305029,False,0.7335346322589962,5,595.5563533306122,8e-05
