epoch,train_loss,did_eval,dev_ndcg@10,is_best,best_ndcg@10_so_far,patience_counter,epoch_elapsed_sec,lr
1,1.929500500134787,True,0.7154164855263596,True,0.7154164855263596,0,590.2924971580505,0.0003333333333333333
2,1.8453965406478958,True,0.716299205779455,True,0.716299205779455,0,618.1506896018982,0.0006666666666666666
3,1.8236431118728174,True,0.7173159448927043,True,0.7173159448927043,0,604.9225015640259,0.001
4,1.7991888364806807,True,0.7156175664580039,False,0.7173159448927043,1,628.6748008728027,0.001
5,1.7753832612270222,True,0.7163177447229147,False,0.7173159448927043,2,606.0181791782379,0.0009383716857408418
6,1.7460371146171532,True,0.7125679273816827,False,0.7173159448927043,3,653.0633499622345,0.0007700000000000001
7,1.7075674944222716,True,0.7120354333419393,False,0.7173159448927043,4,647.2770974636078,0.00054
8,1.6600271076993103,True,0.7139696145881609,False,0.7173159448927043,5,628.3158740997314,0.0003100000000000001
9,1.6263547265771532,True,0.7132643296338015,False,0.7173159448927043,6,614.8755416870117,0.0001416283142591582
