epoch,train_loss,train_loss_per_pair,did_eval,dev_ndcg@10,is_best,best_ndcg@10_so_far,patience_counter,epoch_elapsed_sec,lr
1,1.96225158096251,0.01541541702879493,True,0.7176388939458459,True,0.7176388939458459,0,617.8946669101715,0.0003333333333333333
2,1.8489270460864495,0.014687385991968295,True,0.717157881234161,False,0.7176388939458459,1,606.8896567821503,0.0006666666666666666
3,1.8239554579506654,0.01449779175054823,True,0.717141508745391,False,0.7176388939458459,2,650.4370634555817,0.001
4,1.7983258475439112,0.014305249777010356,True,0.7176395198142461,True,0.7176395198142461,0,647.012900352478,0.001
5,1.777256058793596,0.014134409733014415,True,0.7186264667540269,True,0.7186264667540269,0,611.7681896686554,0.0009383716857408418
6,1.7474881565498686,0.013880239571412496,True,0.7179189679649206,False,0.7186264667540269,1,593.9805510044098,0.0007700000000000001
7,1.7092542799608101,0.013555913162497291,True,0.7173480131253276,False,0.7186264667540269,2,596.4610228538513,0.00054
8,1.6662493544611146,0.013180464741140985,True,0.7160991255573851,False,0.7186264667540269,3,642.6587979793549,0.0003100000000000001
9,1.627016875849113,0.012836597195718447,True,0.7146528833986038,False,0.7186264667540269,4,639.0512385368347,0.0001416283142591582
10,1.606807667808458,0.012653571633357522,True,0.7143622982283039,False,0.7186264667540269,5,621.5145246982574,8e-05
