epoch,train_loss,train_loss_per_pair,did_eval,dev_ndcg@10,is_best,best_ndcg@10_so_far,patience_counter,epoch_elapsed_sec,lr
1,2.0236355207071024,0.016288942988242593,True,0.7004372378435522,True,0.7004372378435522,0,758.7496204376221,0.0003333333333333333
2,1.9342016499466952,0.015657927719954466,True,0.7042906181564584,True,0.7042906181564584,0,791.4313197135925,0.0006666666666666666
3,1.88077400464736,0.015255603414901389,True,0.7052724359653678,True,0.7052724359653678,0,701.0043387413025,0.001
4,1.8476042638197567,0.01501244248746242,True,0.7069201774878456,True,0.7069201774878456,0,741.6501758098602,0.001
5,1.832728066765067,0.014893242242994754,True,0.707136060864797,True,0.707136060864797,0,752.1676268577576,0.0009383716857408418
6,1.8201562799048177,0.014799714755902384,True,0.708436989375575,True,0.708436989375575,0,737.3291561603546,0.0007700000000000001
7,1.8074457920367404,0.014704715977570072,True,0.70751418311213,False,0.708436989375575,1,716.3752946853638,0.00054
8,1.7942974564223642,0.014598790810842309,True,0.7072725108676355,False,0.708436989375575,2,708.1777052879333,0.0003100000000000001
9,1.7855607312660409,0.01452437640396713,True,0.7100994166224988,True,0.7100994166224988,0,679.7488627433777,0.0001416283142591582
10,1.7828134021246982,0.014506872643649861,True,0.7110899503810075,True,0.7110899503810075,0,683.3367464542389,8e-05
