epoch,train_loss,did_eval,dev_ndcg@10,is_best,best_ndcg@10_so_far,patience_counter,epoch_elapsed_sec,lr
1,2.0063014377069353,True,0.6985678949946188,True,0.6985678949946188,0,512.886079788208,0.0003333333333333333
2,1.9010443301911955,True,0.7048103473510977,True,0.7048103473510977,0,569.4760820865631,0.0006666666666666666
3,1.8343890763120145,True,0.7065163086754126,True,0.7065163086754126,0,604.0604915618896,0.001
4,1.7939352309793137,True,0.7096717375922343,True,0.7096717375922343,0,619.4328920841217,0.001
5,1.7674749319654595,True,0.7103793203239157,True,0.7103793203239157,0,592.0314402580261,0.0009383716857408418
6,1.736061239642328,True,0.709836430758466,False,0.7103793203239157,1,505.4260220527649,0.0007700000000000001
7,1.6948300870324815,True,0.7080264007541053,False,0.7103793203239157,2,505.5195324420929,0.00054
8,1.6483576087665863,True,0.7084554549187957,False,0.7103793203239157,3,514.1707122325897,0.0003100000000000001
9,1.6130576232183078,True,0.7086749438134031,False,0.7103793203239157,4,604.1871516704559,0.0001416283142591582
10,1.5925054842133715,True,0.7091438900596008,False,0.7103793203239157,5,588.0842802524567,8e-05
