epoch,train_loss,did_eval,dev_ndcg@10,is_best,best_ndcg@10_so_far,patience_counter,epoch_elapsed_sec,lr
1,0.13826785384174403,True,0.6772171077365657,True,0.6772171077365657,0,4134.972786664963,1e-05
2,0.1320596563960463,True,0.6816633360994139,True,0.6816633360994139,0,4733.307209730148,2e-05
3,0.128153890306252,True,0.6831879055790274,True,0.6831879055790274,0,4657.502614736557,3e-05
4,0.12284369276680983,True,0.6824659193621376,False,0.6831879055790274,1,4501.281428337097,3e-05
5,0.11795168609759761,True,0.6817771405248859,False,0.6831879055790274,2,4610.851430416107,2.8151150572225256e-05
6,0.11211638668620738,True,0.6780263677398463,False,0.6831879055790274,3,4693.999642372131,2.3100000000000002e-05
7,0.10565965393408674,True,0.6727998580418852,False,0.6831879055790274,4,4601.184704780579,1.62e-05
8,0.09999440929061708,True,0.6725985893027309,False,0.6831879055790274,5,4587.948037385941,9.300000000000004e-06
9,0.0962383752084971,True,0.6737813383519115,False,0.6831879055790274,6,5075.6432065963745,4.248849427774746e-06
