epoch,train_loss,train_loss_per_pair,did_eval,dev_ndcg@10,is_best,best_ndcg@10_so_far,patience_counter,epoch_elapsed_sec,lr
1,2.01100731317035,0.016174793406042977,True,0.7049550576553308,True,0.7049550576553308,0,600.8444771766663,0.0003333333333333333
2,1.909353765406185,0.015456203546590408,True,0.70769249608428,True,0.70769249608428,0,610.8337533473969,0.0006666666666666666
3,1.8439705799274941,0.014943235097181935,True,0.7098199517644783,True,0.7098199517644783,0,611.0412695407867,0.001
4,1.7986839037472293,0.014610726942206182,True,0.7089453341869111,False,0.7098199517644783,1,688.3327865600586,0.001
5,1.7696275809727267,0.014370206851320202,True,0.708553008221372,False,0.7098199517644783,2,616.6178908348083,0.0009383716857408418
6,1.7364208131996683,0.014085911432293277,True,0.7100160020134186,True,0.7100160020134186,0,639.8052172660828,0.0007700000000000001
7,1.6926197332864654,0.013710769081066046,True,0.7087666989677923,False,0.7100160020134186,1,639.3821361064911,0.00054
8,1.6471010402318116,0.01330620949284931,True,0.7093629525583153,False,0.7100160020134186,2,627.0339670181274,0.0003100000000000001
9,1.6101413544611636,0.012983065003911394,True,0.7086634412845586,False,0.7100160020134186,3,618.5543093681335,0.0001416283142591582
10,1.5897650725280987,0.012799388986687312,True,0.7093505768368626,False,0.7100160020134186,4,624.5105309486389,8e-05
