epoch,train_loss,train_loss_per_pair,did_eval,dev_ndcg@10,is_best,best_ndcg@10_so_far,patience_counter,epoch_elapsed_sec,lr
1,1.9404369286958594,0.01526799202406888,True,0.7111920276041834,True,0.7111920276041834,0,658.2210972309113,0.0003333333333333333
2,1.8775290610806254,0.014832678717873525,True,0.7136226539632485,True,0.7136226539632485,0,659.3742911815643,0.0006666666666666666
3,1.8616230066948585,0.014718250447147464,True,0.7135306556219162,False,0.7136226539632485,1,666.6015455722809,0.001
4,1.8472722761204032,0.014601153262880966,True,0.7134740612867502,False,0.7136226539632485,2,653.7164576053619,0.001
5,1.8414890872888958,0.014567101704598621,True,0.7139264881767939,True,0.7139264881767939,0,651.6509456634521,0.0009383716857408418
6,1.8300376236122937,0.014472998701151202,True,0.7137426568739514,False,0.7139264881767939,1,677.9337058067322,0.0007700000000000001
7,1.8232796504404047,0.014423832107699939,True,0.7151925099640932,True,0.7151925099640932,0,655.868985414505,0.00054
8,1.8170881044186706,0.014370947893364175,True,0.7178387386907198,True,0.7178387386907198,0,675.7851893901825,0.0003100000000000001
9,1.8129472687487802,0.01433791419289109,True,0.7204962793073091,True,0.7204962793073091,0,685.5161488056183,0.0001416283142591582
10,1.8100262590407987,0.014316079126210463,True,0.7205734445693657,True,0.7205734445693657,0,641.243038892746,8e-05
