retriever,dataset,system,ndcg@10,ndcg@20,ndcg@50,mrr,recall@10,recall@20,hit@10
hybrid_bm25_faiss,pubmedqa_labeled,hybrid,0.808337,0.822737,0.832974,0.960966,0.809838,0.849674,0.986000
hybrid_bm25_faiss,pubmedqa_labeled,rrf,0.863250,0.889092,0.900337,0.974136,0.878324,0.949633,0.991000
hybrid_bm25_faiss,pubmedqa_labeled,gardian,0.897561,0.913117,0.923744,0.979740,0.913581,0.956724,0.994000
hybrid_bm25_faiss,medmcqa,hybrid,0.376365,0.397376,0.410947,0.331835,0.552415,0.635061,0.552415
hybrid_bm25_faiss,medmcqa,rrf,0.394086,0.419438,0.438696,0.342005,0.596388,0.695917,0.596388
hybrid_bm25_faiss,medmcqa,gardian,0.424807,0.449052,0.468790,0.372874,0.624068,0.719474,0.624068
