epoch,train_loss,did_eval,dev_ndcg@10,is_best,best_ndcg@10_so_far,patience_counter,epoch_elapsed_sec,lr
1,1.967904651261858,True,0.7196845660796762,True,0.7196845660796762,0,588.0443887710571,0.0003333333333333333
2,1.8859130262444272,True,0.7208529829667863,True,0.7208529829667863,0,626.3647623062134,0.0006666666666666666
3,1.8138879472945781,True,0.7212934809040003,True,0.7212934809040003,0,615.0152902603149,0.001
4,1.7728504176192046,True,0.7237156786121305,True,0.7237156786121305,0,630.8945462703705,0.001
5,1.7415853295171273,True,0.7250057603260687,True,0.7250057603260687,0,636.208744764328,0.0009383716857408418
6,1.7055558709237568,True,0.7246131023414396,False,0.7250057603260687,1,613.2679626941681,0.0007700000000000001
7,1.662737317154324,True,0.7234791860320621,False,0.7250057603260687,2,611.2526063919067,0.00054
8,1.6207886917436978,True,0.7227482431427383,False,0.7250057603260687,3,627.8737540245056,0.0003100000000000001
9,1.5865669534089328,True,0.7220052523803285,False,0.7250057603260687,4,634.3334624767303,0.0001416283142591582
10,1.567373639279901,True,0.7219292704203001,False,0.7250057603260687,5,615.2587478160858,8e-05
