epoch,train_loss,did_eval,dev_ndcg@10,is_best,best_ndcg@10_so_far,patience_counter,epoch_elapsed_sec,lr
1,0.1328352083889438,True,0.6993104471628491,True,0.6993104471628491,0,4509.663037538528,1e-05
2,0.12423735802953585,True,0.6995158893818364,True,0.6995158893818364,0,4681.578511476517,2e-05
3,0.12032831975937874,True,0.7008273671404123,True,0.7008273671404123,0,4570.933221817017,3e-05
4,0.1145997921938339,True,0.7006026707669423,False,0.7008273671404123,1,4603.962883234024,3e-05
5,0.10944646175361165,True,0.7000360098418879,False,0.7008273671404123,2,4660.1478481292725,2.8151150572225256e-05
6,0.10334652600461233,True,0.7001511956431599,False,0.7008273671404123,3,4639.635049581528,2.3100000000000002e-05
7,0.09685864531971733,True,0.6995817178394188,False,0.7008273671404123,4,4579.337085008621,1.62e-05
8,0.0917211158314073,True,0.6994828146407633,False,0.7008273671404123,5,4734.242455005646,9.300000000000004e-06
9,0.08808148608556936,True,0.698852638223837,False,0.7008273671404123,6,4856.429025888443,4.248849427774746e-06
