epoch,train_loss,train_loss_per_pair,did_eval,dev_ndcg@10,is_best,best_ndcg@10_so_far,patience_counter,epoch_elapsed_sec,lr
1,1.9468499746726644,0.015361086560310896,True,0.7100561035380758,True,0.7100561035380758,0,671.1283843517303,0.0003333333333333333
2,1.879448941123999,0.014911316829518628,True,0.7108518149662738,True,0.7108518149662738,0,665.5124523639679,0.0006666666666666666
3,1.866320062188671,0.01481996535891357,True,0.708677255610668,False,0.7108518149662738,1,677.5315663814545,0.001
4,1.8526713466805553,0.01471660538020652,True,0.7115739827775052,True,0.7115739827775052,0,686.6662564277649,0.001
5,1.8435587285251624,0.014649614975194273,True,0.7136028302303031,True,0.7136028302303031,0,687.1567277908325,0.0009383716857408418
6,1.8350617791376491,0.014576636502987133,True,0.7145900172151779,True,0.7145900172151779,0,698.1586995124817,0.0007700000000000001
7,1.8249834845523556,0.014498971849411246,True,0.716121412656017,True,0.716121412656017,0,699.3208782672882,0.00054
8,1.818040639024139,0.014446299803247605,True,0.7160797398314126,False,0.716121412656017,1,690.2057971954346,0.0003100000000000001
9,1.813302988363526,0.014408981071631908,True,0.716433957160016,True,0.716433957160016,0,678.6288108825684,0.0001416283142591582
10,1.8095349711470436,0.014379546321313318,True,0.7166132949761032,True,0.7166132949761032,0,708.8681426048279,8e-05
