epoch,train_loss,did_eval,dev_ndcg@10,is_best,best_ndcg@10_so_far,patience_counter,epoch_elapsed_sec,lr
1,2.017932053765696,True,0.7018006303879257,True,0.7018006303879257,0,665.2796659469604,0.0003333333333333333
2,1.9073328359867903,True,0.7060454491349973,True,0.7060454491349973,0,635.9232931137085,0.0006666666666666666
3,1.8403718989957796,True,0.7076180416600482,True,0.7076180416600482,0,644.4361753463745,0.001
4,1.7974646095926745,True,0.7086006438803647,True,0.7086006438803647,0,635.1751382350922,0.001
5,1.7688930932003135,True,0.7096046013023517,True,0.7096046013023517,0,637.835470199585,0.0009383716857408418
6,1.7326560075096773,True,0.7107449962239248,True,0.7107449962239248,0,656.9312605857849,0.0007700000000000001
7,1.6902384255513352,True,0.7102196752049703,False,0.7107449962239248,1,652.1662335395813,0.00054
8,1.6455306636619431,True,0.7085726158359265,False,0.7107449962239248,2,606.4394295215607,0.0003100000000000001
9,1.6089582709257322,True,0.7086886093754701,False,0.7107449962239248,3,627.8511533737183,0.0001416283142591582
10,1.5864128518266165,True,0.7095286430885551,False,0.7107449962239248,4,680.6680302619934,8e-05
