epoch,train_loss,did_eval,dev_ndcg@10,is_best,best_ndcg@10_so_far,patience_counter,epoch_elapsed_sec,lr
1,2.016987167997867,True,0.7050100431049936,True,0.7050100431049936,0,605.1969583034515,0.0003333333333333333
2,1.9073603743108476,True,0.7073532717355269,True,0.7073532717355269,0,623.6209588050842,0.0006666666666666666
3,1.837159102000469,True,0.7087778183290114,True,0.7087778183290114,0,594.2038345336914,0.001
4,1.794496776799921,True,0.7097249827202495,True,0.7097249827202495,0,596.159410238266,0.001
5,1.7671728908398983,True,0.7080700671581797,False,0.7097249827202495,1,597.1176598072052,0.0009383716857408418
6,1.736204996880488,True,0.7080833745395116,False,0.7097249827202495,2,644.3369002342224,0.0007700000000000001
7,1.692647982677136,True,0.7091384733645947,False,0.7097249827202495,3,618.5358788967133,0.00054
8,1.6449800629382725,True,0.7096170012779628,False,0.7097249827202495,4,587.7392904758453,0.0003100000000000001
9,1.6082355516576954,True,0.7079994623909318,False,0.7097249827202495,5,574.0208811759949,0.0001416283142591582
10,1.587351019196199,True,0.7091609740110083,False,0.7097249827202495,6,618.2690563201904,8e-05
