epoch,train_loss,train_loss_per_pair,did_eval,dev_ndcg@10,is_best,best_ndcg@10_so_far,patience_counter,epoch_elapsed_sec,lr
1,1.9700050113564116,0.015713465967017008,True,0.7189162167742251,True,0.7189162167742251,0,656.3147275447845,0.0003333333333333333
2,1.8881477310395587,0.015141263245242767,True,0.7201927524180917,True,0.7201927524180917,0,638.017404794693,0.0006666666666666666
3,1.8183103090080428,0.014648810127935103,True,0.7223173376056943,True,0.7223173376056943,0,623.6964595317841,0.001
4,1.7703262300973055,0.014298416620031083,True,0.7226798480788195,True,0.7226798480788195,0,596.7138004302979,0.001
5,1.7411425395173599,0.014063372956346147,True,0.7217871700833135,False,0.7226798480788195,1,627.2135553359985,0.0009383716857408418
6,1.7049579214013872,0.013762388214438826,True,0.7211200961090706,False,0.7226798480788195,2,605.7390720844269,0.0007700000000000001
7,1.660991420871333,0.01338816034187832,True,0.722094369228539,False,0.7226798480788195,3,557.4193670749664,0.00054
8,1.618258879825615,0.01301091439369964,True,0.7215541457840102,False,0.7226798480788195,4,571.3672442436218,0.0003100000000000001
9,1.5809562955800402,0.012682557485380243,True,0.720770655534074,False,0.7226798480788195,5,645.2988035678864,0.0001416283142591582
10,1.5639225988369534,0.012543583011723036,True,0.7210813108113516,False,0.7226798480788195,6,673.2347266674042,8e-05
