epoch,train_loss,did_eval,dev_ndcg@10,is_best,best_ndcg@10_so_far,patience_counter,epoch_elapsed_sec,lr
1,1.9064261216613692,True,0.7305303427670309,True,0.7305303427670309,0,587.0942451953888,0.0003333333333333333
2,1.8155928860490544,True,0.7317018652147607,True,0.7317018652147607,0,592.6089587211609,0.0006666666666666666
3,1.7926354863246983,True,0.7325435979041037,True,0.7325435979041037,0,609.2145762443542,0.001
4,1.7681360068105632,True,0.7328124182641989,True,0.7328124182641989,0,551.912965297699,0.001
5,1.74290098311496,True,0.7326708637147383,False,0.7328124182641989,1,613.7984569072723,0.0009383716857408418
6,1.7139890305737395,True,0.7312452904151119,False,0.7328124182641989,2,534.6409592628479,0.0007700000000000001
7,1.6752169413728286,True,0.7314135513616877,False,0.7328124182641989,3,631.8842103481293,0.00054
8,1.6327747360887732,True,0.7288814806074808,False,0.7328124182641989,4,589.9892156124115,0.0003100000000000001
9,1.601678841339746,True,0.72782050159449,False,0.7328124182641989,5,649.3688058853149,0.0001416283142591582
10,1.5802232241596867,True,0.728448826863618,False,0.7328124182641989,6,644.7100555896759,8e-05
