epoch,train_loss,did_eval,dev_ndcg@10,is_best,best_ndcg@10_so_far,patience_counter,epoch_elapsed_sec,lr
1,1.976431564407187,True,0.720129779242843,True,0.720129779242843,0,585.6961591243744,0.0003333333333333333
2,1.8824215267749693,True,0.7226804375675814,True,0.7226804375675814,0,596.118175983429,0.0006666666666666666
3,1.8123425527833368,True,0.7248537737091295,True,0.7248537737091295,0,626.3171534538269,0.001
4,1.7678802228992965,True,0.7245554987784252,False,0.7248537737091295,1,591.7354607582092,0.001
5,1.7407364168170483,True,0.7231530232768906,False,0.7248537737091295,2,568.8429262638092,0.0009383716857408418
6,1.703271080351937,True,0.7241981113939031,False,0.7248537737091295,3,640.2426888942719,0.0007700000000000001
7,1.661053559145124,True,0.7233705758223901,False,0.7248537737091295,4,621.3392081260681,0.00054
8,1.61533908951792,True,0.7204919530511614,False,0.7248537737091295,5,603.3819653987885,0.0003100000000000001
9,1.584106000583107,True,0.7210285330890039,False,0.7248537737091295,6,601.2555260658264,0.0001416283142591582
