epoch,train_loss,train_loss_per_pair,did_eval,dev_ndcg@10,is_best,best_ndcg@10_so_far,patience_counter,epoch_elapsed_sec,lr
1,1.9231489843506984,0.015038445882924694,True,0.7282599934845864,True,0.7282599934845864,0,573.6212828159332,0.0003333333333333333
2,1.8217538271805962,0.014379027038815769,True,0.7302532152226413,True,0.7302532152226413,0,521.8941316604614,0.0006666666666666666
3,1.7968105588520176,0.014200687830477864,True,0.7316641444088792,True,0.7316641444088792,0,616.6971786022186,0.001
4,1.7711015913815769,0.014002372020921068,True,0.7321573445533884,True,0.7321573445533884,0,606.354697227478,0.001
5,1.746949617052533,0.013808238604696613,True,0.7322018975606044,True,0.7322018975606044,0,645.0199675559998,0.0009383716857408418
6,1.712115769018263,0.013522118209502389,True,0.731435476532773,False,0.7322018975606044,1,617.9266476631165,0.0007700000000000001
7,1.6761205315968881,0.013213124195677675,True,0.7301789325056269,False,0.7322018975606044,2,620.9748601913452,0.00054
8,1.6371919988154187,0.012884335651146269,True,0.7294414367917333,False,0.7322018975606044,3,662.0834307670593,0.0003100000000000001
9,1.6038540600046005,0.01260034748082045,True,0.7285619386966838,False,0.7322018975606044,4,602.3611760139465,0.0001416283142591582
10,1.5836993672956388,0.012427332229914947,True,0.7282853131750567,False,0.7322018975606044,5,638.3062958717346,8e-05
